ID,Title,Created At,Closed At
1551,nltk.tokenize.moses.py needs quite some re-working and tests,2016-12-20T10:06:57Z,2016-12-29T07:59:35Z
1510,"DependencyGraph or Stanford Parser API issues with sentences with ""/""",2016-11-18T10:21:47Z,
1486,Training on PerceptronTagger with alpino throws TypeError,2016-10-24T08:39:25Z,
1421,Issues with UnicharsCorpusReader and NonbreakingPrefixesCorpusReader,2016-06-21T15:24:00Z,2016-07-06T06:05:00Z
1184,Getting a wrong synsets,2015-11-02T10:50:12Z,2017-01-04T20:43:30Z
1182,Word attribute in DependencyGraph TOP node,2015-10-28T15:23:33Z,
1001,cannot import word2vec_sample,2015-06-03T21:33:42Z,2015-08-07T04:36:46Z
985,PlaintextCorpusReader (or dependency?) confused by BOM,2015-05-23T14:04:43Z,
977,Do_Kw_pairwise method in agreement.py uses next wrongly,2015-05-12T21:19:10Z,2015-05-12T21:33:09Z
882,NLTK downloader bug,2015-02-11T10:18:04Z,2015-02-11T12:30:37Z
851,Bug in DependencyGraph._tree,2015-01-25T06:22:35Z,2015-02-08T22:41:54Z
840,pos_tag in NLTK 3,2015-01-16T23:37:26Z,2015-01-25T05:46:42Z
789,Critical bug in BLEU score evaluation,2014-11-07T06:48:31Z,2014-11-07T17:02:03Z
